GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mortgageapplication,com.example.mortgageapplication.config,SwaggerConfig,0,14,0,0,0,6,0,2,0,2
mortgageapplication,com.example.mortgageapplication,MortgageApplication,5,3,0,0,2,1,1,1,1,1
mortgageapplication,com.example.mortgageapplication.controller,UserController,48,6,0,0,9,3,3,1,3,1
mortgageapplication,com.example.mortgageapplication.manager,UserManager,5,27,1,1,1,10,1,4,0,4
mortgageapplication,com.example.mortgageapplication.manager,LoanManager,188,16,2,0,36,5,3,2,2,2
mortgageapplication,com.example.mortgageapplication.pvo,UserPVO,24,42,0,0,8,20,8,11,8,11
mortgageapplication,com.example.mortgageapplication.pvo,LoanInfoPVO,73,3,0,0,31,1,21,1,21,1
mortgageapplication,com.example.mortgageapplication.util,PVOUtil,119,0,2,0,26,0,5,0,4,0
mortgageapplication,com.example.mortgageapplication.entity,Perpetual,62,0,14,0,19,0,11,0,4,0
mortgageapplication,com.example.mortgageapplication.entity,User,31,42,0,0,11,20,10,11,10,11
mortgageapplication,com.example.mortgageapplication.entity,UserLoan,10,7,0,0,4,3,3,2,3,2
mortgageapplication,com.example.mortgageapplication.entity,LoanInfo,30,46,0,0,10,22,10,12,10,12
